"Bat_species","Sex","fal","bm","r_Tmax_FAL","r_Tmin_FAL","r_SP_FAL","r_Tmax_BM","r_Tmin_BM","r_SP_BM","n"
"Barbastella barbastellus","female",39,9.5,0.078,-0.222,0.203,-0.051,-0.179,0.121,83
"Barbastella barbastellus","male",39,9.5,0.019,-0.321,0.188,-0.251,-0.279,0.258,87
"Eptesicus isabellinus","female",49,18.5,-0.416,0.083,0.276,-0.186,0.012,0.111,14
"Eptesicus isabellinus","male",49,18.5,-0.553,0.104,0.041,-0.431,-0.336,0.466,35
"Eptesicus nilssonii","female",40.5,11,0.301,0.223,-0.212,-0.175,0.21,-0.174,9
"Eptesicus nilssonii","male",40.5,11,0.346,0.636,-0.533,0.475,0.241,-0.112,9
"Eptesicus serotinus","female",53,21.5,0.08,-0.407,-0.115,-0.05,-0.085,0.028,32
"Eptesicus serotinus","male",53,21.5,0.094,0.067,-0.045,-0.049,-0.135,0.034,63
"Hypsugo savii","female",34.5,7,-0.06,-0.296,0.007,-0.243,-0.485,0.26,33
"Hypsugo savii","male",34.5,7,0.046,0.016,-0.097,-0.484,-0.455,0.409,66
"Myotis alcathoe","female",32,4.5,-0.289,-0.114,0.053,-0.163,0.181,0.148,15
"Myotis alcathoe","male",32,4.5,-0.642,-0.642,0.357,-0.041,0.014,-0.101,19
"Myotis bechsteinii","female",43,10.5,-0.384,-0.425,0.572,-0.162,-0.502,0.355,45
"Myotis bechsteinii","male",43,10.5,-0.259,-0.69,0.591,-0.343,-0.29,0.277,60
"Myotis crypticus","female",39.3,8.5,0.004,-0.187,0.226,0.022,-0.085,0.084,22
"Myotis crypticus","male",39.3,8.5,-0.105,-0.279,0.294,-0.342,-0.217,0.578,44
"Myotis emarginatus","female",40.4,13,-0.116,-0.017,-0.101,-0.226,-0.067,0.062,78
"Myotis emarginatus","male",40.4,13,0.048,-0.25,0.111,-0.165,-0.116,0.151,89
"Myotis escalerai","female",39.5,5.4,0.277,-0.071,-0.148,0.277,-0.284,-0.17,23
"Myotis escalerai","male",39.5,5.4,0.095,-0.38,0.24,-0.046,-0.271,0.035,51
"Myotis mystacinus","female",34,5.5,-0.147,0.132,-0.083,-0.203,0.023,0.008,92
"Myotis mystacinus","male",34,5.5,-0.043,0.016,-0.01,-0.203,0.193,0.073,107
"Myotis nattereri","female",39,8.5,0.157,-0.498,0.258,-0.175,-0.376,0.239,70
"Myotis nattereri","male",39,8.5,-0.172,-0.518,0.456,-0.399,-0.519,0.544,73
"Pipistrellus kuhlii","female",33.8,7.5,-0.122,-0.231,0.138,-0.22,-0.174,0.2,103
"Pipistrellus kuhlii","male",33.8,7.5,-0.094,-0.228,0.154,-0.213,0.074,0.143,80
"Pipistrellus pipistrellus","female",30.5,5.75,-0.597,0.001,0.25,-0.368,-0.01,0.214,240
"Pipistrellus pipistrellus","male",30.5,5.75,-0.568,0.084,0.196,-0.467,0.227,0.141,258
"Plecotus auritus","female",39,7.5,0.052,-0.355,0.104,0.163,-0.272,0.016,98
"Plecotus auritus","male",39,7.5,-0.037,-0.453,0.158,0.099,-0.179,-0.002,151
"Plecotus austriacus","female",40,8,0.044,-0.159,-0.096,0.178,-0.319,-0.052,60
"Plecotus austriacus","male",40,8,-0.033,-0.13,-0.17,0.164,-0.086,-0.132,75
"Rhinolophus euryale","female",46,16,-0.828,-0.573,0.898,0.386,0.267,-0.291,10
"Rhinolophus euryale","male",46,16,-0.029,0.2,-0.086,-0.257,0.2,0.829,6
"Rhinolophus ferrumequinum","female",58.4,23.5,-0.46,-0.454,0.382,-0.453,-0.505,0.393,39
"Rhinolophus ferrumequinum","male",58.4,23.5,-0.05,-0.213,0.095,-0.413,-0.468,0.425,46
"Rhinolophus hipposideros","female",37,7,-0.005,0.098,0.21,-0.007,-0.047,-0.146,21
"Rhinolophus hipposideros","male",37,7,-0.496,-0.579,0.123,-0.508,-0.374,0.136,40
