"Bat_species","cell_id","fal","r","n"
"Barbastella barbastellus",50588,39,-0.346,12
"Barbastella barbastellus",87728,39,0.145,6
"Eptesicus isabellinus",40302,49,0.595,24
"Eptesicus isabellinus",40306,49,0.316,14
"Eptesicus isabellinus",40760,49,-0.021,16
"Hypsugo savii",50588,34.5,-0.866,6
"Myotis bechsteinii",35967,43,0.222,6
"Myotis bechsteinii",86852,43,-0.389,7
"Myotis bechsteinii",88637,43,-0.721,6
"Myotis bechsteinii",97252,43,0.361,14
"Myotis crypticus",50588,39.3,0.121,10
"Myotis emarginatus",71720,40.4,-0.272,18
"Myotis mystacinus",50588,34,-0.219,10
"Myotis mystacinus",51103,34,-0.153,9
"Myotis mystacinus",58169,34,0.118,7
"Myotis mystacinus",86852,34,0.283,6
"Myotis nattereri",86852,39,0.639,7
"Pipistrellus kuhlii",30119,33.8,0.601,8
"Pipistrellus kuhlii",30492,33.8,-0.556,6
"Pipistrellus kuhlii",30859,33.8,0.149,10
"Pipistrellus kuhlii",35609,33.8,0.038,6
"Pipistrellus kuhlii",50588,33.8,0.2,6
"Pipistrellus pipistrellus",50588,30.5,-0.813,7
"Plecotus auritus",50588,39,0.2,11
"Plecotus auritus",86852,39,0.49,9
"Plecotus auritus",87728,39,0.201,7
"Plecotus auritus",88178,39,0.412,7
"Plecotus auritus",88637,39,-0.665,6
"Rhinolophus mehelyi",42125,51,-0.036,7
